refYear,reporter,partner,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,dataset_type,source_side
2020,India,China,China,Export,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,96389519.538,hs2,India_reporter
2020,India,China,China,Export,54,Man-made filaments; strip and the like of man-made textile materials,14251288.366,hs2,India_reporter
2020,India,China,China,Export,55,Man-made staple fibres,20638181.029,hs2,India_reporter
2020,India,China,China,Export,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",7166535.224,hs2,India_reporter
2020,India,China,China,Export,57,Carpets and other textile floor coverings,13136375.825,hs2,India_reporter
2020,India,China,China,Export,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1905499.307,hs2,India_reporter
2020,India,China,China,Export,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",19457188.244,hs2,India_reporter
2020,India,China,China,Export,61,Apparel and clothing accessories; knitted or crocheted,22365960.167,hs2,India_reporter
2020,India,China,China,Export,62,Apparel and clothing accessories; not knitted or crocheted,38009642.773,hs2,India_reporter
2020,India,China,China,Export,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",25993302.417,hs2,India_reporter
2020,India,China,China,Export,64,Footwear; gaiters and the like; parts of such articles,40671131.707,hs2,India_reporter
2020,India,China,China,Export,65,Headgear and parts thereof,302604.525,hs2,India_reporter
2020,India,China,China,Export,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",162182.039,hs2,India_reporter
2020,India,China,China,Export,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",10867065.679,hs2,India_reporter
2020,India,China,China,Export,69,Ceramic products,23789547.372,hs2,India_reporter
2020,India,China,China,Export,70,Glass and glassware,22806915.906,hs2,India_reporter
2020,India,China,China,Export,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",58651658.639,hs2,India_reporter
2020,India,China,China,Export,72,Iron and steel,2411983606.351,hs2,India_reporter
2020,India,China,China,Export,73,Iron or steel articles,66566905.34,hs2,India_reporter
2020,India,China,China,Export,74,Copper and articles thereof,499408366.157,hs2,India_reporter
2020,India,China,China,Export,76,Aluminium and articles thereof,245572961.388,hs2,India_reporter
2020,India,China,China,Export,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",11230176.53,hs2,India_reporter
2020,India,China,China,Export,83,Metal; miscellaneous products of base metal,4629594.909,hs2,India_reporter
2020,India,China,China,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",718921918.398,hs2,India_reporter
2020,India,China,China,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",638699940.112,hs2,India_reporter
2020,India,China,China,Export,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",2096530.764,hs2,India_reporter
2020,India,China,China,Export,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",96593829.38,hs2,India_reporter
2020,India,China,China,Export,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",179947197.144,hs2,India_reporter
2020,India,China,China,Export,91,Clocks and watches and parts thereof,199858.767,hs2,India_reporter
2020,India,China,China,Export,92,Musical instruments; parts and accessories of such articles,4303833.157,hs2,India_reporter
2020,India,China,China,Export,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",12664639.364,hs2,India_reporter
2020,India,China,China,Export,95,"Toys, games and sports requisites; parts and accessories thereof",5951593.602,hs2,India_reporter
2020,India,China,China,Export,96,Miscellaneous manufactured articles,6124505.413,hs2,India_reporter
2020,India,China,China,Export,97,Works of art; collectors' pieces and antiques,57315.082,hs2,India_reporter
2020,India,China,China,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1953333.049,hs2,India_reporter
2020,India,China,China,Import,5,Animal originated products; not elsewhere specified or included,4748706.822,hs2,India_reporter
2020,India,China,China,Import,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",3049604.949,hs2,India_reporter
2020,India,China,China,Import,7,Vegetables and certain roots and tubers; edible,48764936.837,hs2,India_reporter
2020,India,China,China,Import,8,"Fruit and nuts, edible; peel of citrus fruit or melons",13741491.169,hs2,India_reporter
2020,India,China,China,Import,10,Cereals,37378.841,hs2,India_reporter
2020,India,China,China,Import,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",10458126.838,hs2,India_reporter
2020,India,China,China,Import,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",10509589.048,hs2,India_reporter
2020,India,China,China,Import,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,67465613.332,hs2,India_reporter
2020,India,China,China,Import,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,10296733.565,hs2,India_reporter
2020,India,China,China,Import,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1476878.254,hs2,India_reporter
2020,India,China,China,Import,17,Sugars and sugar confectionery,4092034.65,hs2,India_reporter
2020,India,China,China,Import,18,Cocoa and cocoa preparations,698095.602,hs2,India_reporter
2020,India,China,China,Import,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",562891.359,hs2,India_reporter
2020,India,China,China,Import,20,"Preparations of vegetables, fruit, nuts or other parts of plants",24419666.234,hs2,India_reporter
2020,India,China,China,Import,22,"Beverages, spirits and vinegar",2478401.497,hs2,India_reporter
2020,India,China,China,Import,23,"Food industries, residues and wastes thereof; prepared animal fodder",60317555.729,hs2,India_reporter
2020,India,China,China,Import,26,"Ores, slag and ash",33437185.245,hs2,India_reporter
2020,India,China,China,Import,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,3185.594,hs2,India_reporter
2020,India,China,China,Import,41,Raw hides and skins (other than furskins) and leather,23876520.061,hs2,India_reporter
2020,India,China,China,Import,45,Cork and articles of cork,394727.61,hs2,India_reporter
2020,India,China,China,Import,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,21256105.634,hs2,India_reporter
2020,India,China,China,Import,60,Fabrics; knitted or crocheted,298425437.326,hs2,India_reporter
2020,India,China,China,Import,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",11260388.393,hs2,India_reporter
2020,India,China,China,Import,75,Nickel and articles thereof,58882049.237,hs2,India_reporter
2020,India,China,China,Import,76,Aluminium and articles thereof,670920676.721,hs2,India_reporter
2020,India,China,China,Import,78,Lead and articles thereof,3717555.673,hs2,India_reporter
2020,India,China,China,Import,80,Tin; articles thereof,2957613.276,hs2,India_reporter
2020,India,China,China,Import,99,Commodities not specified according to kind,360398040.559,hs2,India_reporter
2020,India,China,China,Import,1,Animals; live,39655.617,hs2,India_reporter
2020,India,China,China,Import,9,"Coffee, tea, mate and spices",13206958.312,hs2,India_reporter
2020,India,China,China,Import,13,"Lac; gums, resins and other vegetable saps and extracts",26512743.853,hs2,India_reporter
2020,India,China,China,Import,21,Miscellaneous edible preparations,24644968.522,hs2,India_reporter
2020,India,China,China,Import,24,Tobacco and manufactured tobacco substitutes,6920633.65,hs2,India_reporter
2020,India,China,China,Import,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",102002376.099,hs2,India_reporter
2020,India,China,China,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",288800246.399,hs2,India_reporter
2020,India,China,China,Import,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",620036785.068,hs2,India_reporter
2020,India,China,China,Import,29,Organic chemicals,8198196738.423,hs2,India_reporter
2020,India,China,China,Import,30,Pharmaceutical products,184860833.045,hs2,India_reporter
2020,India,China,China,Import,31,Fertilizers,1673430535.539,hs2,India_reporter
2020,India,China,China,Import,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",520780832.135,hs2,India_reporter
2020,India,China,China,Import,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",135728098.83,hs2,India_reporter
2020,India,China,China,Import,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",108710810.343,hs2,India_reporter
2020,India,China,China,Import,35,Albuminoidal substances; modified starches; glues; enzymes,139454202.14,hs2,India_reporter
2020,India,China,China,Import,37,Photographic or cinematographic goods,33437800.605,hs2,India_reporter
2020,India,China,China,Import,38,Chemical products n.e.c.,1240979641.679,hs2,India_reporter
2020,India,China,China,Import,39,Plastics and articles thereof,2164828932.303,hs2,India_reporter
2020,India,China,China,Import,40,Rubber and articles thereof,196176203.379,hs2,India_reporter
2020,India,China,China,Import,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",124618189.147,hs2,India_reporter
2020,India,China,China,Import,43,Furskins and artificial fur; manufactures thereof,946003.354,hs2,India_reporter
2020,India,China,China,Import,44,Wood and articles of wood; wood charcoal,97725527.932,hs2,India_reporter
2020,India,China,China,Import,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2375656.957,hs2,India_reporter
2020,India,China,China,Import,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",317026728.265,hs2,India_reporter
2020,India,China,China,Import,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",14882417.608,hs2,India_reporter
2020,India,China,China,Import,50,Silk,56644127.272,hs2,India_reporter
2020,India,China,China,Import,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",26132765.785,hs2,India_reporter
