partner_group,Export,Import,Total_Trade,Trade_Balance
China,88274113911.993,497514038904.79504,585788152816.7881,-409239924992.80206
United States,356308277556.06396,200876813160.989,557185090717.053,155431464395.07495
European Union,310109029674.596,234601810685.407,544710840360.00305,75507218989.189
