partner_group,flow_india,cmdCode,cmdDesc,share_2020,share_2024,share_change,exposure_score
China,Import,57,Carpets and other textile floor coverings,0.0003131185746007507,0.00045984226161553833,0.00014672368701478764,0.000606565948630326
China,Import,95,"Toys, games and sports requisites; parts and accessories thereof",0.0050135282358679326,0.0027820627557645305,-0.002231465480103402,0.0005505972756611284
China,Import,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00044444367601976506,0.0004877121657587088,4.326848973894374e-05,0.0005309806554976526
China,Import,52,Cotton,0.0011214314205673884,0.0007665678029338568,-0.00035486361763353163,0.00041170418530032515
China,Import,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",0.00036934185122526137,0.0003830596329929541,1.371778176769274e-05,0.00039677741476064685
China,Import,37,Photographic or cinematographic goods,0.000568681445399566,0.00047715063234312976,-9.153081305643624e-05,0.0003856198192866935
China,Import,23,"Food industries, residues and wastes thereof; prepared animal fodder",0.0010258292756793175,0.0007053373879405034,-0.0003204918877388141,0.0003848455002016893
China,Import,21,Miscellaneous edible preparations,0.00041914049570658854,0.00039615380715214373,-2.298668855444481e-05,0.0003731671185976989
China,Import,13,"Lac; gums, resins and other vegetable saps and extracts",0.00045090601723302246,0.000401087790743494,-4.981822648952844e-05,0.0003512695642539656
China,Import,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",0.00025310739950676824,0.0002882633950936463,3.515599558687806e-05,0.00032341939068052436
China,Import,8,"Fruit and nuts, edible; peel of citrus fruit or melons",0.00023370350078479068,0.0002778743499116333,4.417084912684263e-05,0.00032204519903847594
China,Import,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",0.0001915070318989282,0.000247077833393572,5.557080149464378e-05,0.00030264863488821576
China,Import,41,Raw hides and skins (other than furskins) and leather,0.00040607138309721414,0.0002814992742380595,-0.00012457210885915464,0.00015692716537890486
China,Import,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",0.0001787380803233332,0.00016261999021735784,-1.611809010597536e-05,0.00014650190011138248
China,Import,92,Musical instruments; parts and accessories of such articles,0.0004404062099087518,0.00028671521664443643,-0.00015369099326431536,0.00013302422338012107
China,Import,80,Tin; articles thereof,5.0300550942250754e-05,9.15358667940344e-05,4.1235315851783646e-05,0.00013277118264581805
China,Import,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",5.18650664492468e-05,9.049634956976763e-05,3.863128312052083e-05,0.00012912763269028846
China,Import,50,Silk,0.0009633547538297468,0.0005346317746002528,-0.000428722979229494,0.00010590879537075877
China,Import,65,Headgear and parts thereof,0.00029209758370860414,0.0001989409479016375,-9.315663580696665e-05,0.00010578431209467084
China,Import,9,"Coffee, tea, mate and spices",0.00022461262422495903,0.00015922487621795192,-6.538774800700711e-05,9.383712821094481e-05
China,Import,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",0.00017786285517584308,0.00013167400711562108,-4.6188848060221995e-05,8.548515905539909e-05
China,Import,17,Sugars and sugar confectionery,6.959381709570748e-05,7.433274604083862e-05,4.738928945131139e-06,7.907167498596976e-05
China,Import,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,0.00036150562108745423,0.00020919228470706286,-0.00015231333638039137,5.687894832667148e-05
China,Import,22,"Beverages, spirits and vinegar",4.2150527848522895e-05,3.785970641470639e-05,-4.290821433816503e-06,3.356888498088989e-05
