partner_group,flow_india,cmdCode,cmdDesc,share_2020,share_2024,share_change
China,Export,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",0.0006662700780603776,0.0006943555654634948,2.8085487403117283e-05
China,Export,5,Animal originated products; not elsewhere specified or included,0.0001566391114392237,0.0001795467750697264,2.29076636305027e-05
China,Export,37,Photographic or cinematographic goods,2.0284216614473827e-07,1.9625758572594783e-05,1.9422916406450044e-05
China,Export,80,Tin; articles thereof,8.242629491218384e-08,1.2898619201797613e-05,1.281619290688543e-05
China,Export,45,Cork and articles of cork,3.466507488803985e-06,3.75850234437618e-06,2.919948555721953e-07
China,Export,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5.7780298176548366e-06,5.927997119183585e-06,1.4996730152874858e-07
China,Export,97,Works of art; collectors' pieces and antiques,3.015271344143183e-06,2.680102382087874e-06,-3.3516896205530876e-07
China,Export,91,Clocks and watches and parts thereof,1.0514307787449193e-05,9.152180072642647e-06,-1.362127714806546e-06
China,Export,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",5.823258297021403e-06,3.720212752247792e-06,-2.1030455447736113e-06
China,Export,65,Headgear and parts thereof,1.5919627452344206e-05,1.1496073830817156e-05,-4.42355362152705e-06
China,Export,43,Furskins and artificial fur; manufactures thereof,6.8152370112769214e-06,2.201868434911097e-06,-4.613368576365824e-06
China,Export,60,Fabrics; knitted or crocheted,3.109180537680306e-05,2.4310114681920125e-05,-6.781690694882935e-06
China,Export,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",8.532184508283737e-06,8.642788485243548e-08,-8.445756623431302e-06
China,Export,18,Cocoa and cocoa preparations,4.4037534483962784e-05,2.3179088402101102e-05,-2.085844608186168e-05
China,Export,95,"Toys, games and sports requisites; parts and accessories thereof",0.00031310553895912607,0.00026948685609052154,-4.361868286860453e-05
China,Export,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",0.000590804868438962,0.0005462302200813737,-4.4574648357588345e-05
China,Export,55,Man-made staple fibres,0.0010857476545524816,0.0009771932047079317,-0.00010855444984454992
China,Export,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",0.00012079527152712182,8.402604826371209e-06,-0.0001123926667007506
China,Export,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,0.00044095589382662966,0.00031349008119485616,-0.0001274658126317735
China,Export,8,"Fruit and nuts, edible; peel of citrus fruit or melons",0.000545005299706435,0.00041251707058552044,-0.00013248822912091457
China,Export,89,"Ships, boats and floating structures",0.00016256249075338622,7.962463014070862e-07,-0.00016176624445197912
China,Export,22,"Beverages, spirits and vinegar",0.00022284447567775268,4.849268150964245e-05,-0.00017435179416811023
China,Export,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",0.0003770220253321795,0.00017681177890042725,-0.00020021024643175227
China,Export,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",0.001367473572097966,0.0010944507677172713,-0.0002730228043806946
China,Export,17,Sugars and sugar confectionery,0.0026191709926290823,0.0022438105803462014,-0.00037536041228288094
China,Export,79,Zinc and articles thereof,0.000888671757658111,0.00040983021042697844,-0.00047884154723113257
China,Export,69,Ceramic products,0.0012515369075268594,0.0006612065485859324,-0.0005903303589409269
China,Export,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.0030855868893399584,0.0014261096770037953,-0.001659477212336163
China,Export,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",0.014986532917344352,0.012563400496057257,-0.002423132421287095
China,Export,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",0.006010586551821735,0.0022654809133900366,-0.0037451056384316984
China,Export,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",0.013190781337536817,0.001625370367255115,-0.011565410970281702
China,Export,26,"Ores, slag and ash",0.18384850864371802,0.16970191772698323,-0.014146590916734786
China,Export,52,Cotton,0.05466790853496408,0.02888755074016528,-0.0257803577947988
China,Export,39,Plastics and articles thereof,0.05288902952583347,0.020448697549565378,-0.0324403319762681
China,Export,29,Organic chemicals,0.1273016893112385,0.08282680084241474,-0.04447488846882376
China,Export,72,Iron and steel,0.1268912962695107,0.016555165941428817,-0.11033613032808189
China,Export,2,Meat and edible meat offal,,5.3740346915802755e-06,
China,Export,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,0.035696075690378616,,
China,Export,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",,0.05656539139665742,
China,Export,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",0.00010366408263594723,,
China,Export,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",,9.810620810251024e-05,
China,Export,24,Tobacco and manufactured tobacco substitutes,1.7977660808941286e-05,,
China,Export,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",,1.926045527363702e-05,
China,Export,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",,0.07510109851662411,
China,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",0.03782153987360487,,
China,Export,88,"Aircraft, spacecraft and parts thereof",0.0003095447332355272,,
China,Export,88,"Aircraft, spacecraft, and parts thereof",,0.009672026573663405,
China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.30344787351957186,0.3754583117720164,0.07201043825244452
China,Import,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.0017618634327034423,0.022711230969617947,0.020949367536914506
China,Import,39,Plastics and articles thereof,0.036817554503892264,0.049573669092752355,0.012756114588860092
China,Import,72,Iron and steel,0.014202357992683688,0.02356456314775207,0.009362205155068384
China,Import,76,Aluminium and articles thereof,0.01141044366802944,0.014296416193351247,0.0028859725253218074
China,Import,70,Glass and glassware,0.00754879696502011,0.00981800432668566,0.0022692073616655496
China,Import,74,Copper and articles thereof,0.002332277166708433,0.004375659093187278,0.002043381926478845
China,Import,89,"Ships, boats and floating structures",0.0008943459757240036,0.0026398096561617264,0.0017454636804377227
China,Import,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",0.005391718797230852,0.00675120744783634,0.0013594886506054877
China,Import,91,Clocks and watches and parts thereof,0.00048352505209540915,0.00172093968618966,0.001237414634094251
China,Import,26,"Ores, slag and ash",0.0005686709798842538,0.001161006105895241,0.0005923351260109872
China,Import,75,Nickel and articles thereof,0.0010014154119687673,0.0014532061068878058,0.0004517906949190384
China,Import,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",0.0021193993218739235,0.0022826820446551262,0.00016328272278120278
China,Import,57,Carpets and other textile floor coverings,0.0003131185746007507,0.00045984226161553833,0.00014672368701478764
China,Import,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.001734768962809582,0.0018613181989149544,0.00012654923610537234
China,Import,35,Albuminoidal substances; modified starches; glues; enzymes,0.002371717511472924,0.002470798275487528,9.908076401460384e-05
China,Import,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",0.008856993910976177,0.008945732185796097,8.873827481991996e-05
China,Import,60,Fabrics; knitted or crocheted,0.005075363988418857,0.0051493584590283714,7.399447060951487e-05
China,Import,83,Metal; miscellaneous products of base metal,0.004952369113338418,0.005012975998740843,6.0606885402424496e-05
China,Import,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",0.0001915070318989282,0.000247077833393572,5.557080149464378e-05
China,Import,8,"Fruit and nuts, edible; peel of citrus fruit or melons",0.00023370350078479068,0.0002778743499116333,4.417084912684263e-05
China,Import,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00044444367601976506,0.0004877121657587088,4.326848973894374e-05
China,Import,80,Tin; articles thereof,5.0300550942250754e-05,9.15358667940344e-05,4.1235315851783646e-05
China,Import,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",5.18650664492468e-05,9.049634956976763e-05,3.863128312052083e-05
China,Import,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",0.00025310739950676824,0.0002882633950936463,3.515599558687806e-05
China,Import,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",0.00036934185122526137,0.0003830596329929541,1.371778176769274e-05
China,Import,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5.417785164091492e-08,1.3639224955849681e-05,1.3585047104208766e-05
China,Import,45,Cork and articles of cork,6.7131887783417855e-06,1.1478906280997501e-05,4.7657175026557154e-06
China,Import,17,Sugars and sugar confectionery,6.959381709570748e-05,7.433274604083862e-05,4.738928945131139e-06
China,Import,93,Arms and ammunition; parts and accessories thereof,9.24055596326151e-07,2.5036450376817e-06,1.579589441355549e-06
China,Import,1,Animals; live,6.744287359139122e-07,1.439363654703889e-06,7.649349187899768e-07
China,Import,43,Furskins and artificial fur; manufactures thereof,1.6088814006059754e-05,1.6291106113229766e-05,2.0229210717001138e-07
China,Import,18,Cocoa and cocoa preparations,1.1872611499246666e-05,1.19620775952792e-05,8.946609603253326e-08
China,Import,10,Cereals,6.357072816584121e-07,4.534385460642281e-07,-1.82268735594184e-07
China,Import,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",9.573173649201682e-06,9.253792214618727e-06,-3.193814345829544e-07
China,Import,22,"Beverages, spirits and vinegar",4.2150527848522895e-05,3.785970641470639e-05,-4.290821433816503e-06
China,Import,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4.040313679836583e-05,3.3981739271228285e-05,-6.421397527137542e-06
China,Import,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,0.000869407861398421,0.0008566059794626024,-1.2801881935818648e-05
China,Import,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",0.0001787380803233332,0.00016261999021735784,-1.611809010597536e-05
China,Import,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.0010357408471810164,0.0010194870761459046,-1.625377103511177e-05
China,Import,21,Miscellaneous edible preparations,0.00041914049570658854,0.00039615380715214373,-2.298668855444481e-05
