typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","184783580.337",,"184783580.337","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"4109962.167","4109962.167","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","11","Products of the milling industry; malt, starches, inulin, wheat gluten","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7402813.326",,"7402813.326","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","11","Products of the milling industry; malt, starches, inulin, wheat gluten","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"11990966.505","11990966.505","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","283325929.416",,"283325929.416","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"45700268.6","45700268.6","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","13","Lac; gums, resins and other vegetable saps and extracts","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","132864153.838",,"132864153.838","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","13","Lac; gums, resins and other vegetable saps and extracts","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"25425520.125","25425520.125","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","14","Vegetable plaiting materials; vegetable products not elsewhere specified or included","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","51462992.048",,"51462992.048","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","14","Vegetable plaiting materials; vegetable products not elsewhere specified or included","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"109203.28","109203.28","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","15","Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","266635744.776",,"266635744.776","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","15","Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"75161132.17","75161132.17","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","16","Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","26548568.112",,"26548568.112","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","16","Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"757332.996","757332.996","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","17","Sugars and sugar confectionery","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","43760428.136",,"43760428.136","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","17","Sugars and sugar confectionery","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"67760742.125","67760742.125","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","18","Cocoa and cocoa preparations","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","16425447.617",,"16425447.617","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","18","Cocoa and cocoa preparations","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"20968816.283","20968816.283","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","19","Preparations of cereals, flour, starch or milk; pastrycooks' products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","11642206.748",,"11642206.748","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","19","Preparations of cereals, flour, starch or milk; pastrycooks' products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"10273979.076","10273979.076","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","20","Preparations of vegetables, fruit, nuts or other parts of plants","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","149228371.066",,"149228371.066","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","20","Preparations of vegetables, fruit, nuts or other parts of plants","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"10964865.475","10964865.475","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","21","Miscellaneous edible preparations","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","110662404.945",,"110662404.945","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","21","Miscellaneous edible preparations","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"30396158.017","30396158.017","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","22","Beverages, spirits and vinegar","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","6765092.21",,"6765092.21","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","22","Beverages, spirits and vinegar","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"51507692.537","51507692.537","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","23","Food industries, residues and wastes thereof; prepared animal fodder","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","66379266.849",,"66379266.849","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","23","Food industries, residues and wastes thereof; prepared animal fodder","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"51014834.326","51014834.326","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","24","Tobacco and manufactured tobacco substitutes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","178790833.97",,"178790833.97","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","24","Tobacco and manufactured tobacco substitutes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2462624.435","2462624.435","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","25","Salt; sulphur; earths, stone; plastering materials, lime and cement","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","106217644.48",,"106217644.48","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","25","Salt; sulphur; earths, stone; plastering materials, lime and cement","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"72038384.094","72038384.094","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","29788146.164",,"29788146.164","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","26","Ores, slag and ash","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"27520090.751","27520090.751","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1386672751.196",,"1386672751.196","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"422144702.147","422144702.147","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","28","Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","158186843.483",,"158186843.483","4","false","true",
